,airy10::Probabilities::Post,airy10::Probabilities::3rdStair,airy10::Probabilities::2ndStair,airy10::Probabilities::1stStair,airy10::Probabilities::Pre,airy10::FrameCount,airy10::SpaceStep,airy10::TimeStep,airy10::PointCount,airy10::RegionLength::Post,airy10::RegionLength::3rdStair,airy10::RegionLength::2ndStair,airy10::RegionLength::1stStair,airy10::RegionLength::Pre,packetStartX,packetStartY,initialWaveNumber,standardDeviation
32,0.0017577112720365948,0.004411059545039617,0.014486349145402276,0.053680882445383625,0.9256639975921381,100,0.01,2.5e-05,100,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.5,0.5,NULL,0.03
33,0.0017567833136879275,0.004409865182624112,0.014482407560610385,0.053666222229707704,0.9256847217133698,100,0.01,2.5e-05,100,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.5,0.5,NULL,0.03
34,0.001749705705380875,0.004393058093446449,0.014427217294221865,0.05346178798258448,0.9259682309243665,100,0.01,2.5e-05,100,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.5,0.5,NULL,0.03
35,0.0017469039831556209,0.004386926691836601,0.014407085943079682,0.053387353701713415,0.9260717296802148,100,0.01,2.5e-05,100,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.5,0.5,NULL,0.03
36,0.0017484004159790416,0.004391501623394427,0.014422111306336001,0.05344333474728002,0.9259946519070105,100,0.01,2.5e-05,100,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.5,0.5,NULL,0.03
37,0.001746477357137764,0.004387749477003049,0.014409774552537863,0.053398098655133286,0.926057899958188,100,0.01,2.5e-05,100,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.5,0.5,NULL,0.03
38,0.001742396503789523,0.00437844990666817,0.014379235444760597,0.05328564119494795,0.9262142769498337,100,0.01,2.5e-05,100,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.5,0.5,NULL,0.03
39,0.0017398287305838542,0.0043729085905876396,0.014361039122132097,0.05321889575515844,0.9263073278015378,100,0.01,2.5e-05,100,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.5,0.5,NULL,0.03
40,0.001741689854617959,0.004378309204456991,0.01437876638459511,0.05328467476367406,0.9262165597926558,100,0.01,2.5e-05,100,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.5,0.5,NULL,0.03
41,0.0017398105853018927,0.00437476438039289,0.01436711168453681,0.05323935011962629,0.9262789632301422,100,0.01,2.5e-05,100,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.5,0.5,NULL,0.03
42,0.0017335851083138168,0.004360009380894404,0.014318656847087465,0.05305429470048607,0.9265334539632181,100,0.01,2.5e-05,100,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.5,0.5,NULL,0.03
43,0.0017298249138009438,0.004351407948762631,0.014290412152199936,0.052938343838276954,0.9266900111469595,100,0.01,2.5e-05,100,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.5,0.5,NULL,0.03
