,cupy_profile_2_cg0::Probabilities::Post,cupy_profile_2_cg0::Probabilities::3rdStair,cupy_profile_2_cg0::Probabilities::2ndStair,cupy_profile_2_cg0::Probabilities::1stStair,cupy_profile_2_cg0::Probabilities::Pre,cupy_profile_2_cg0::FrameCount,cupy_profile_2_cg0::SpaceStep,cupy_profile_2_cg0::TimeStep,cupy_profile_2_cg0::PointCount,cupy_profile_2_cg0::RegionLength::Post,cupy_profile_2_cg0::RegionLength::3rdStair,cupy_profile_2_cg0::RegionLength::2ndStair,cupy_profile_2_cg0::RegionLength::1stStair,cupy_profile_2_cg0::RegionLength::Pre,cupy_profile_2_cg1::Probabilities::Post,cupy_profile_2_cg1::Probabilities::3rdStair,cupy_profile_2_cg1::Probabilities::2ndStair,cupy_profile_2_cg1::Probabilities::1stStair,cupy_profile_2_cg1::Probabilities::Pre,cupy_profile_2_cg1::FrameCount,cupy_profile_2_cg1::SpaceStep,cupy_profile_2_cg1::TimeStep,cupy_profile_2_cg1::PointCount,cupy_profile_2_cg1::RegionLength::Post,cupy_profile_2_cg1::RegionLength::3rdStair,cupy_profile_2_cg1::RegionLength::2ndStair,cupy_profile_2_cg1::RegionLength::1stStair,cupy_profile_2_cg1::RegionLength::Pre,packetStartX,packetStartY,initialWaveNumber,standardDeviation
30,5.597860586705116e-46,6.107701699788286e-27,3.197035084940834e-13,0.00017311953932001595,0.9998268804603604,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,5.664572536726873e-46,6.141403665882915e-27,3.794389970140331e-13,0.0001731195393146635,0.9998268804603059,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
31,7.17099021872883e-46,7.241634499046566e-27,3.553881778981596e-13,0.00018249805636743179,0.9998175019432772,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,7.258876636376643e-46,7.282736086716029e-27,4.222778842780092e-13,0.00018249805636137283,0.9998175019432162,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
32,9.189345431113467e-46,8.587025936189512e-27,3.9511903656151527e-13,0.00019235656545870257,0.9998076434341464,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,9.305039401794355e-46,8.637102875643865e-27,4.69926324860015e-13,0.0001923565654518516,0.9998076434340784,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
33,1.1779670919674457e-45,1.018342084492909e-26,4.393354184816473e-13,0.00020271784274212242,0.9997972821568184,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,1.1931863504023381e-45,1.0244377087862988e-26,5.229197573975065e-13,0.00020271784273437454,0.9997972821567427,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
34,1.5104963032809877e-45,1.2077769147056015e-26,4.885394116077622e-13,0.0002136056348352724,0.9997863943646761,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,1.5305036997137856e-45,1.2151904058297709e-26,5.818525543930667e-13,0.00021360563482650534,0.9997863943645914,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
35,1.9374877149207422e-45,1.4325812575350636e-26,5.432860377354174e-13,0.00022504469634687993,0.9997749553031099,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,1.96377346369417e-45,1.4415901680241726e-26,6.473844227460516e-13,0.00022504469633696114,0.9997749553030159,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
36,2.4859131393162033e-45,1.6993730839020752e-26,6.04202849018915e-13,0.00023706082910341018,0.9997629391702924,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,2.5204274568410824e-45,1.7103122826415483e-26,7.202474904344266e-13,0.00023706082909219844,0.9997629391701875,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
37,3.190477030868504e-45,2.016009515859583e-26,6.719781534854538e-13,0.00024968091655718595,0.9997503190827708,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,3.2357711870539644e-45,2.029282836738683e-26,8.012541308950653e-13,0.00024968091654452654,0.9997503190826544,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
38,4.095840281606313e-45,2.3918187002030063e-26,7.473700788946891e-13,0.00026293296237985935,0.9997370670368727,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,4.1552506551751005e-45,2.4079129255941614e-26,8.913056273680923e-13,0.00026293296236557445,0.9997370670367434,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
39,5.259484987586275e-45,2.837874997022926e-26,8.312142293963415e-13,0.000276846130776457,0.9997231538683923,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,5.337373168609156e-45,2.8573766382364943e-26,9.914017585404421e-13,0.000276846130760339,0.9997231538682484,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
40,6.755405088451894e-45,3.36732549353209e-26,9.244436784584051e-13,0.0002914507833257726,0.9997085492157499,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,6.857471006513274e-45,3.390940920373156e-26,1.102651382165806e-12,0.00029145078330758504,0.9997085492155897,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
41,8.678861464647353e-45,3.9957774951823595e-26,1.0280998818944514e-12,0.0003067785228231684,0.9996932214761487,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,8.812551642082244e-45,4.0243570749089857e-26,1.2262841569568903e-12,0.0003067785228026507,0.9996932214759713,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
42,1.1152508778959393e-44,4.74175830003558e-26,1.1433379839594888e-12,0.00032286223864265597,0.999677137760214,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,1.132754846316127e-44,4.776325332963224e-26,1.3636635036669679e-12,0.0003228622386195227,0.9996771377600167,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
43,1.4334289870651575e-44,5.627260582260412e-26,1.2714408375732117e-12,0.00033973614636344067,0.999660263852365,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,1.4563376444511156e-44,5.669045968811569e-26,1.5163009015361586e-12,0.0003397361463373758,0.9996602638521461,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
44,1.8427608346490233e-44,6.678389425750522e-26,1.4138171295074856e-12,0.0003574358329661525,0.9996425641656201,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,1.8727314656918327e-44,6.728873176265222e-26,1.6858717021500855e-12,0.0003574358329367976,0.9996425641653772,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
45,2.3694437086234886e-44,7.926129790036913e-26,1.5720240696125871e-12,0.0003759983030096297,0.9996240016954181,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,2.4086387926935236e-44,7.987090731608846e-26,1.874232599117228e-12,0.00037599830297657655,0.9996240016951493,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
46,3.047220998987312e-44,9.407256409395271e-26,1.7478012777936684e-12,0.00039546202101902806,0.9996045379772331,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,3.0984613925029945e-44,9.480831917021792e-26,2.0834408977609105e-12,0.0003954620209818156,0.9996045379769344,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
47,3.919558989247819e-44,1.1165411992749413e-25,1.943073804861893e-12,0.0004158669619396961,0.999584133036117,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,3.986523322803079e-44,1.1254170677746678e-25,2.315775826983387e-12,0.00041586696189781366,0.9995841330357864,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
48,5.042452012993916e-44,1.3252383273514502e-25,2.1599744319666366e-12,0.00043725466265307313,0.9995627453351866,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,5.12993617812421e-44,1.335941561850706e-25,2.5737620707172798e-12,0.0004372546626059547,0.9995627453348201,60,0.01,2.5e-05,400,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,40.840704496667314,0.15
