,tunnelSteppingTest20::Probabilities::PostRegion,tunnelSteppingTest20::Probabilities::IntraRegion,tunnelSteppingTest20::Probabilities::PreRegion,tunnelSteppingTest20::FrameCount,tunnelSteppingTest20::SpaceStep,tunnelSteppingTest20::TimeStep,tunnelSteppingTest20::PointCount,tunnelSteppingTest20::RegionLength::PostRegion,tunnelSteppingTest20::RegionLength::IntraRegion,tunnelSteppingTest20::RegionLength::PreRegion,tunnelSteppingTest21::Probabilities::PostRegion,tunnelSteppingTest21::Probabilities::IntraRegion,tunnelSteppingTest21::Probabilities::PreRegion,tunnelSteppingTest21::FrameCount,tunnelSteppingTest21::SpaceStep,tunnelSteppingTest21::TimeStep,tunnelSteppingTest21::PointCount,tunnelSteppingTest21::RegionLength::PostRegion,tunnelSteppingTest21::RegionLength::IntraRegion,tunnelSteppingTest21::RegionLength::PreRegion,tunnelSteppingTest22::Probabilities::PostRegion,tunnelSteppingTest22::Probabilities::IntraRegion,tunnelSteppingTest22::Probabilities::PreRegion,tunnelSteppingTest22::FrameCount,tunnelSteppingTest22::SpaceStep,tunnelSteppingTest22::TimeStep,tunnelSteppingTest22::PointCount,tunnelSteppingTest22::RegionLength::PostRegion,tunnelSteppingTest22::RegionLength::IntraRegion,tunnelSteppingTest22::RegionLength::PreRegion
70,0.0005488999555501011,0.795104708777134,0.2043463912673158,200,0.1,0.0025000000000000005,100,0.35,0.25,0.4,0.0005500108133651081,0.7894674356731968,0.20998255351343847,200,0.1,0.0025000000000000005,100,0.35,0.25,0.4,0.0005008291102345851,0.5879925748912582,0.41150659599850725,200,0.1,0.0025000000000000005,100,0.35,0.25,0.4
71,0.0006852451577950066,0.8083708166032242,0.1909439382389808,200,0.1,0.0025000000000000005,100,0.35,0.25,0.4,0.0006873924373118822,0.8026845311839305,0.19662807637875743,200,0.1,0.0025000000000000005,100,0.35,0.25,0.4,0.0006162351026917142,0.5900424860748126,0.40934127882249566,200,0.1,0.0025000000000000005,100,0.35,0.25,0.4
72,0.0008514726417417606,0.8208294561917605,0.1783190711664977,200,0.1,0.0025000000000000005,100,0.35,0.25,0.4,0.0008549670617229508,0.8149473570300914,0.18419767590818575,200,0.1,0.0025000000000000005,100,0.35,0.25,0.4,0.0007553866994352821,0.5919457835848682,0.4072988297156967,200,0.1,0.0025000000000000005,100,0.35,0.25,0.4
73,0.0010531719891983926,0.8324992721501728,0.16644755586062893,200,0.1,0.0025000000000000005,100,0.35,0.25,0.4,0.0010583733166096,0.8262420909983927,0.1726995356849974,200,0.1,0.0025000000000000005,100,0.35,0.25,0.4,0.0009224576843713502,0.5937288688993556,0.4053486734162732,200,0.1,0.0025000000000000005,100,0.35,0.25,0.4
74,0.0012967692221946582,0.8434007674897696,0.15530246328803599,200,0.1,0.0025000000000000005,100,0.35,0.25,0.4,0.0013040909285392153,0.8365551814379861,0.1621407276334746,200,0.1,0.0025000000000000005,100,0.35,0.25,0.4,0.0011221886157086417,0.5954074760327308,0.4034703353515607,200,0.1,0.0025000000000000005,100,0.35,0.25,0.4
75,0.00158961072079107,0.8535556862295287,0.14485470304968015,200,0.1,0.0025000000000000005,100,0.35,0.25,0.4,0.0015994968827130077,0.8458599730175962,0.15254053009969076,200,0.1,0.0025000000000000005,100,0.35,0.25,0.4,0.0013599326828754007,0.5969846861827443,0.4016553811343805,200,0.1,0.0025000000000000005,100,0.35,0.25,0.4
76,0.0019400477955094798,0.8629864015459916,0.13507355065849896,200,0.1,0.0025000000000000005,100,0.35,0.25,0.4,0.0019528580634204644,0.8540932950298163,0.14395384690676283,200,0.1,0.0025000000000000005,100,0.35,0.25,0.4,0.0016417017230801185,0.5984492205927667,0.399909077684153,200,0.1,0.0025000000000000005,100,0.35,0.25,0.4
77,0.0023575197671327286,0.871715183347098,0.12592729688576912,200,0.1,0.0025000000000000005,100,0.35,0.25,0.4,0.0023732047442306366,0.8611265777234636,0.13650021753230593,200,0.1,0.0025000000000000005,100,0.35,0.25,0.4,0.001974212973876723,0.599775120147929,0.39825066687819394,200,0.1,0.0025000000000000005,100,0.35,0.25,0.4
78,0.0028526340000205206,0.8797636993380306,0.117383666661949,200,0.1,0.0025000000000000005,100,0.35,0.25,0.4,0.002870045749581614,0.8667496776986923,0.13038027655172604,200,0.1,0.0025000000000000005,100,0.35,0.25,0.4,0.002364940868872828,0.60092439619562,0.3967106629355072,200,0.1,0.0025000000000000005,100,0.35,0.25,0.4
79,0.003437240515906293,0.8871526386971985,0.10941012078689555,200,0.1,0.0025000000000000005,100,0.35,0.25,0.4,0.003452997944362346,0.870709338502996,0.12583766355264175,200,0.1,0.0025000000000000005,100,0.35,0.25,0.4,0.0028221865233823296,0.6018542859072329,0.39532352756938477,200,0.1,0.0025000000000000005,100,0.35,0.25,0.4
