,momentum_space00::Probabilities::Post,momentum_space00::Probabilities::3rdStair,momentum_space00::Probabilities::2ndStair,momentum_space00::Probabilities::1stStair,momentum_space00::Probabilities::Pre,momentum_space00::FrameCount,momentum_space00::SpaceStep,momentum_space00::TimeStep,momentum_space00::PointCount,momentum_space00::RegionLength::Post,momentum_space00::RegionLength::3rdStair,momentum_space00::RegionLength::2ndStair,momentum_space00::RegionLength::1stStair,momentum_space00::RegionLength::Pre,packetStartX,packetStartY,initialWaveNumber,standardDeviation
486,0.31286750078569375,0.1528256541118685,0.12188883318501129,0.1478597515824058,0.2645582603350206,650,0.01,2.5e-05,100,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,NULL,0.03
487,0.31198121450897126,0.15304501687682376,0.12148938366738238,0.14926009087579875,0.2642242940710239,650,0.01,2.5e-05,100,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,NULL,0.03
488,0.3110674242634858,0.15319402630106246,0.1210778155365005,0.15067443498363528,0.26398629891531594,650,0.01,2.5e-05,100,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,NULL,0.03
489,0.3101256995765592,0.15326469088357372,0.1206588679211603,0.15205188179334828,0.26389885982535854,650,0.01,2.5e-05,100,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,NULL,0.03
490,0.3091586585902587,0.15325141262930045,0.12024514874228251,0.15332432175196906,0.2640204582861892,650,0.01,2.5e-05,100,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,NULL,0.03
491,0.30817001117879544,0.15315091515250745,0.11985464538734945,0.15441582095208828,0.2644086073292593,650,0.01,2.5e-05,100,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,NULL,0.03
492,0.307166487710634,0.15296406382934982,0.11951013403901026,0.15525541549379493,0.2651038989272109,650,0.01,2.5e-05,100,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,NULL,0.03
493,0.30615706506820284,0.15269621056389895,0.11923818319958059,0.15578608741246694,0.2661224537558507,650,0.01,2.5e-05,100,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,NULL,0.03
494,0.3051499043085614,0.15235607370786913,0.11906693267069109,0.1559689231126293,0.2674581662002491,650,0.01,2.5e-05,100,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,NULL,0.03
495,0.30414996614833717,0.15195445563210405,0.11902221061721631,0.15578560375860018,0.26908776384374217,650,0.01,2.5e-05,100,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,NULL,0.03
496,0.303156973719169,0.1515025466613278,0.11912050447565457,0.1552415600834939,0.27097841506035447,650,0.01,2.5e-05,100,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,NULL,0.03
497,0.3021687111092609,0.15101235089242207,0.11936136786773334,0.15437244079683182,0.2730851293337519,650,0.01,2.5e-05,100,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,NULL,0.03
498,0.3011980898504585,0.15050362048342364,0.11972808456593546,0.15325443894208124,0.2753157661581011,650,0.01,2.5e-05,100,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,NULL,0.03
499,0.3002820647573115,0.15000658817515192,0.12019559149906102,0.15200180694267548,0.27751394862580003,650,0.01,2.5e-05,100,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,NULL,0.03
500,0.2994526214496615,0.14954589129580304,0.12073318871513083,0.15073445977323197,0.2795338387661726,650,0.01,2.5e-05,100,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,NULL,0.03
501,0.29872373614755804,0.14913284798904752,0.12131415507759297,0.1495484219188601,0.28128083886694133,650,0.01,2.5e-05,100,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,NULL,0.03
502,0.2980986234250556,0.14876833881912455,0.12192726947956585,0.14850080312897654,0.2827049651472776,650,0.01,2.5e-05,100,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,NULL,0.03
503,0.29757366960575754,0.14844455315684868,0.12257982130099908,0.1476049601330071,0.2837969958033876,650,0.01,2.5e-05,100,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,NULL,0.03
504,0.2971381826775345,0.14814522634513255,0.12329285579109338,0.1468378698790519,0.2845858653071877,650,0.01,2.5e-05,100,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,NULL,0.03
505,0.2967730479052911,0.14784595368689243,0.12409098257047377,0.14615705512110747,0.28513296071623534,650,0.01,2.5e-05,100,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,NULL,0.03
506,0.29645225953846654,0.14751654757730556,0.12499068786994673,0.1455181735377151,0.28552233147656586,650,0.01,2.5e-05,100,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,NULL,0.03
507,0.29614968430520233,0.14712653192468822,0.12599318961324787,0.14488675815166369,0.28584383600519775,650,0.01,2.5e-05,100,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,NULL,0.03
508,0.295847695268742,0.14665197481825384,0.12708570965466057,0.14424250509473627,0.2861721151636073,650,0.01,2.5e-05,100,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,NULL,0.03
509,0.2955393574306581,0.14607933274337195,0.12824838736874367,0.14357500144273053,0.28655792101449556,650,0.01,2.5e-05,100,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,NULL,0.03
